tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
River Desk,Preparer,Investment,2019 TY,"$2,400",Standard,"$1,200","$8,400",Qualifying Widow,2-page,3.00%,Simple,No filing yet,Yes,No,0.0,4 stars,1,1,0 dependents,"$27,700",$400,Yes
Central Desk,Online,Mixed,2023 TY,"$29,860",Standard,"$13,570","$10,860",Head of Household,2-page,5.50%,Simple,On time,Yes,No,1987.66,5 stars,9,6,2 dependents,"$20,800","$3,200",Yes
Harbor Desk,Preparer,Wages,2023 TY,"$78,700",Standard,"$2,570","$4,280",Head of Household,2-page,6.20%,Simple,On time,Yes,No,12495.28,5 stars,3,9,3 dependents,"$20,800",$0,Yes
Prairie Desk,Walk-in,Self-employed,2021 TY,"$1,800",Standard,"$9,600",$600,Single,8-page,7.00%,Schedule-heavy,On time,No,Yes,114.18,4 stars,6,6,0 dependents,"$13,850",$0,Yes
Harbor Desk,Preparer,Farm,2023 TY,"$22,940",Standard,"$64,230","$4,590",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,No,1909.24,4 stars,10,15,4 dependents,"$27,700","$6,400",No
North Desk,Online,Pension,2022 TY,"$61,350",Itemized,$0,"$10,830",Single,8-page,7.00%,Schedule-heavy,No filing yet,Yes,No,7927.0,4 stars,7,13,0 dependents,"$28,370",$0,Yes
Central Desk,Preparer,Wages,2020 TY,"$48,880",Itemized,"$1,590","$2,660",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,4067.6,5 stars,2,10,0 dependents,"$38,350",$0,Yes
Capitol Desk,Online,Wages,2022 TY,"$63,480",Standard,"$2,070","$3,450",Head of Household,2-page,6.20%,Simple,No filing yet,Yes,No,9477.08,4 stars,16,7,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Contract,2020 TY,"$34,420",Standard,"$59,000","$4,920",Single,2-page,5.50%,Simple,No filing yet,Yes,No,14139.97,4 stars,6,10,2 dependents,"$13,850","$3,200",Yes
Delta Desk,Online,Contract,2023 TY,"$18,880",Standard,"$32,360","$2,700",Married Joint,2-page,5.50%,Simple,On time,Yes,No,1675.3,5 stars,11,5,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Preparer,Mixed,Not Available,"$57,220",Itemized,"$26,010","$20,810",Single,2-page,4.75%,Simple,No filing yet,Yes,No,14047.01,4 stars,7,11,0 dependents,"$28,100",$0,Yes
Central Desk,Online,Self-employed,2023 TY,"$7,030",Standard,"$37,470","$2,340",Single,2-page,6.20%,Simple,On time,Yes,No,3721.01,5 stars,7,5,1 dependent,"$13,850","$1,600",Yes
North Desk,Preparer,Mixed,2022 TY,"$35,020",Itemized,"$15,920","$12,730",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,5429.88,5 stars,6,12,0 dependents,"$21,720",$0,Yes
Highland Desk,Preparer,Wages,2022 TY,"$39,390",Standard,"$1,280","$2,140",Single,2-page,4.75%,Simple,On time,Yes,No,2056.65,5 stars,11,4,1 dependent,"$13,850","$1,600",Yes
Delta Desk,Online,Wages,Not Available,"$64,610",Standard,"$2,110","$3,510",Head of Household,2-page,5.50%,Simple,On time,No,Yes,5129.36,4 stars,6,7,2 dependents,"$20,800","$3,200",Yes
Capitol Desk,Online,Wages,2021 TY,"$82,610",Standard,"$2,690","$4,490",Married Joint,2-page,6.20%,Simple,On time,Yes,No,8733.76,5 stars,6,9,1 dependent,"$27,700","$2,000",Yes
River Desk,Preparer,Wages,2019 TY,"$52,970",Standard,"$1,730","$2,880",Head of Household,2-page,4.75%,Simple,On time,Yes,No,812.44,5 stars,5,6,2 dependents,"$20,800","$3,200",Yes
Central Desk,Online,Pension,2022 TY,"$23,510",Itemized,$0,"$4,150",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,No,0.0,4 stars,5,3,1 dependent,"$51,240","$2,000",Yes
Prairie Desk,Online,Wages,2021 TY,"$33,130",Standard,"$1,080","$1,800",Single,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,5,4,4 dependents,"$13,850","$6,600",Yes
Highland Desk,Online,Wages,2021 TY,"$65,750",Standard,"$2,140","$3,570",Single,2-page,5.50%,Simple,2-year amend,Yes,Yes,10080.75,4 stars,10,7,0 dependents,"$13,850",$0,Yes
North Desk,Walk-in,Mixed,2019 TY,"$73,330",Itemized,"$33,330","$26,660",Head of Household,2-page,5.50%,Simple,On time,Yes,No,17726.06,5 stars,9,14,0 dependents,"$38,860",$0,Yes
Central Desk,Online,Wages,2022 TY,"$65,730",Standard,"$2,140","$3,570",Single,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,10507.53,5 stars,0,12,0 dependents,"$13,850",$0,Yes
North Desk,Online,Wages,2021 TY,"$48,500",Standard,"$1,580","$2,640",Head of Household,8-page,6.20%,Schedule-heavy,On time,Yes,No,3264.99,5 stars,6,10,1 dependent,"$20,800","$1,600",Yes
Harbor Desk,Online,Mixed,2020 TY,"$55,540",Itemized,"$25,250","$20,200",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,12958.12,5 stars,6,16,1 dependent,"$26,500",$0,Yes
North Desk,Online,Wages,2019 TY,"$51,750",Standard,"$1,690","$2,810",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,0.0,5 stars,9,11,2 dependents,"$27,700","$3,200",Yes
Central Desk,Walk-in,Self-employed,2021 TY,"$8,610",Itemized,"$45,910","$2,870",Head of Household,16-page,5.50%,Audit-ready,2-year amend,Yes,No,5758.44,3 stars,12,11,0 dependents,"$24,110",$0,Yes
River Desk,Online,Contract,2023 TY,"$14,060",Standard,"$24,100","$2,010",Single,2-page,0.00%,Simple,2-year amend,No,No,3486.9,3 stars,7,4,0 dependents,"$13,850",$0,No
Central Desk,Preparer,Wages,2021 TY,"$88,140",Itemized,"$2,870","$4,790",Single,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,12867.43,5 stars,1,15,1 dependent,"$26,670",$0,Yes
Central Desk,Preparer,Contract,2023 TY,"$4,200",Standard,"$7,200",$600,Qualifying Widow,2-page,6.20%,Simple,On time,No,No,346.49,4 stars,4,1,4 dependents,"$27,700",$0,Yes
Delta Desk,Online,Contract,2023 TY,"$31,270",Standard,"$53,600","$4,470",Single,2-page,4.75%,Simple,On time,No,No,15169.28,4 stars,3,9,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Pension,2021 TY,"$34,490",Standard,$0,"$6,090",Married Joint,2-page,4.75%,Simple,On time,Yes,No,455.58,5 stars,2,4,0 dependents,"$27,700",$800,Yes
Highland Desk,Walk-in,Self-employed,2023 TY,"$8,430",Standard,"$44,980","$2,810",Married Joint,2-page,7.00%,Simple,On time,Yes,Yes,5223.95,5 stars,8,6,0 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Self-employed,2023 TY,"$19,790",Standard,"$105,540","$6,600",Single,8-page,3.00%,Schedule-heavy,On time,No,Yes,23022.62,4 stars,5,19,1 dependent,"$13,850","$1,600",Yes
Prairie Desk,Preparer,Self-employed,2022 TY,"$6,790",Standard,"$36,230","$2,260",Married Separate,2-page,0.00%,Simple,No filing yet,Yes,No,4278.88,4 stars,11,5,0 dependents,"$13,850",$0,No
Harbor Desk,Online,Self-employed,2019 TY,"$6,980",Standard,"$37,210","$2,330",Married Separate,8-page,0.00%,Schedule-heavy,On time,Yes,No,2647.08,5 stars,1,10,0 dependents,"$13,850",$0,No
Central Desk,Preparer,Wages,2019 TY,"$54,160",Itemized,"$1,770","$2,940",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,3008.12,5 stars,11,11,1 dependent,"$24,360","$1,600",Yes
Prairie Desk,Online,Farm,Not Available,"$17,310",Standard,"$48,470","$3,460",Head of Household,2-page,5.50%,Simple,On time,Yes,No,8304.61,5 stars,5,7,0 dependents,"$20,800",$0,Yes
Highland Desk,Preparer,Mixed,2023 TY,"$35,610",Itemized,"$16,190","$12,950",Single,2-page,6.20%,Simple,2-year amend,No,Yes,5842.09,3 stars,4,7,0 dependents,"$26,400",$0,Yes
Capitol Desk,Online,Investment,Not Available,"$3,230",Standard,"$1,620","$11,310",Single,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,4,1,0 dependents,"$13,850",$0,Yes
River Desk,Preparer,Wages,2023 TY,"$37,930",Standard,"$1,240","$2,060",Married Joint,2-page,3.00%,Simple,On time,No,No,34.08,4 stars,10,4,3 dependents,"$27,700",$0,Yes
River Desk,Walk-in,Wages,2019 TY,"$85,330",Standard,"$2,780","$4,640",Qualifying Widow,16-page,4.75%,Audit-ready,On time,Yes,Yes,12664.89,4 stars,8,15,0 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Mixed,2023 TY,"$44,130",Standard,"$20,060","$16,050",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,Yes,8635.11,4 stars,6,13,0 dependents,"$13,850",$0,No
Harbor Desk,Online,Mixed,2022 TY,"$50,340",Standard,"$22,880","$18,310",Single,8-page,5.50%,Schedule-heavy,No filing yet,Yes,Yes,14387.11,4 stars,15,15,0 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Mixed,2023 TY,"$38,590",Itemized,"$17,540","$14,030",Married Joint,2-page,5.50%,Simple,On time,No,Yes,2268.11,4 stars,1,7,1 dependent,"$44,000","$1,600",Yes
North Desk,Walk-in,Wages,2019 TY,"$42,480",Itemized,"$1,390","$2,310",Head of Household,8-page,0.00%,Schedule-heavy,On time,No,No,583.7,4 stars,3,10,2 dependents,"$36,690",$0,No
Prairie Desk,Preparer,Wages,2021 TY,"$94,080",Standard,"$3,070","$5,110",Single,8-page,6.20%,Schedule-heavy,No filing yet,No,No,19794.13,3 stars,13,16,0 dependents,"$13,850",$400,Yes
Harbor Desk,Walk-in,Mixed,2023 TY,"$39,790",Itemized,"$18,090","$14,470",Married Joint,2-page,6.20%,Simple,On time,Yes,No,555.64,5 stars,6,8,0 dependents,"$58,760",$400,Yes
Highland Desk,Preparer,Wages,2023 TY,"$47,250",Itemized,"$1,540","$2,570",Married Separate,2-page,3.00%,Simple,On time,Yes,No,4003.46,5 stars,5,5,0 dependents,"$21,190",$0,Yes
Capitol Desk,Walk-in,Farm,2022 TY,"$22,770",Standard,"$63,750","$4,550",Single,2-page,5.50%,Simple,3-year amend,Yes,No,14784.22,4 stars,11,10,1 dependent,"$13,850","$1,800",Yes
Capitol Desk,Online,Wages,2021 TY,"$41,090",Standard,"$1,340","$2,230",Single,2-page,5.50%,Simple,On time,No,No,2855.26,4 stars,9,4,3 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,2021 TY,"$43,910",Standard,"$1,430","$2,390",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,1148.74,5 stars,11,10,1 dependent,"$13,850","$1,600",No
Central Desk,Preparer,Wages,Not Available,"$57,270",Standard,"$1,870","$3,110",Married Joint,2-page,3.00%,Simple,On time,Yes,No,4418.29,5 stars,3,6,0 dependents,"$27,700",$200,Yes
Delta Desk,Walk-in,Mixed,2022 TY,"$42,900",Standard,"$19,500","$15,600",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,No,7117.49,4 stars,14,8,2 dependents,"$27,700",$0,Yes
River Desk,Online,Mixed,2022 TY,"$47,180",Itemized,"$21,450","$17,160",Head of Household,16-page,7.00%,Audit-ready,No filing yet,Yes,No,7132.51,3 stars,4,14,2 dependents,"$36,080",$0,Yes
Capitol Desk,Online,Self-employed,2022 TY,"$21,950",Standard,"$117,040","$7,320",Married Joint,2-page,5.50%,Simple,On time,Yes,No,27778.19,5 stars,9,16,0 dependents,"$27,700",$0,Yes
Prairie Desk,Online,Farm,2022 TY,"$16,690",Standard,"$46,730","$3,340",Married Joint,2-page,5.50%,Simple,On time,Yes,No,6925.67,5 stars,6,7,0 dependents,"$27,700",$0,Yes
Capitol Desk,Preparer,Wages,2022 TY,"$11,040",Standard,$360,$600,Qualifying Widow,16-page,5.50%,Audit-ready,2-year amend,Yes,No,15.37,3 stars,8,6,0 dependents,"$27,700",$0,Yes
Harbor Desk,Walk-in,Self-employed,2022 TY,"$12,410",Standard,"$66,200","$4,140",Married Joint,16-page,4.75%,Audit-ready,No filing yet,Yes,No,6294.95,3 stars,4,14,2 dependents,"$27,700","$3,200",Yes
Highland Desk,Preparer,Wages,2023 TY,"$57,880",Standard,"$1,890","$3,150",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,3741.96,5 stars,10,11,1 dependent,"$27,700",$0,No
North Desk,Online,Wages,2023 TY,"$58,000",Itemized,"$1,890","$3,150",Head of Household,2-page,4.75%,Simple,On time,Yes,No,363.49,5 stars,3,7,1 dependent,"$45,720","$1,600",Yes
River Desk,Online,Mixed,Not Available,"$46,960",Standard,"$21,340","$17,080",Single,16-page,7.00%,Audit-ready,2-year amend,Yes,No,9110.51,3 stars,9,14,2 dependents,"$13,850","$3,200",Yes
Delta Desk,Walk-in,Wages,2022 TY,"$56,410",Standard,"$1,840","$3,070",Married Separate,8-page,6.20%,Schedule-heavy,On time,Yes,No,7679.44,5 stars,1,11,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Self-employed,2022 TY,"$10,370",Standard,"$55,280","$3,460",Married Separate,8-page,7.00%,Schedule-heavy,On time,Yes,No,9979.34,5 stars,11,12,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Self-employed,2023 TY,"$13,960",Itemized,"$74,460","$4,650",Single,2-page,0.00%,Simple,On time,Yes,Yes,10799.81,5 stars,3,10,0 dependents,"$21,490",$0,No
North Desk,Online,Investment,2023 TY,"$13,960",Itemized,"$6,980","$48,870",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,Yes,0.0,4 stars,11,7,2 dependents,"$52,260","$3,200",Yes
Delta Desk,Preparer,Mixed,2022 TY,"$27,260",Standard,"$12,390","$9,910",Single,8-page,5.50%,Schedule-heavy,On time,No,No,2478.42,4 stars,9,10,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Self-employed,2023 TY,"$26,980",Itemized,"$143,880","$8,990",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,36609.82,5 stars,6,24,0 dependents,"$15,610",$0,Yes
North Desk,Online,Wages,2023 TY,"$41,230",Standard,"$1,340","$2,240",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,1431.97,5 stars,1,4,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Wages,2023 TY,"$59,250",Itemized,"$1,930","$3,220",Single,2-page,6.20%,Simple,On time,Yes,Yes,6582.4,5 stars,3,7,2 dependents,"$19,890",$0,Yes
North Desk,Walk-in,Wages,2023 TY,"$24,020",Standard,$780,"$1,310",Married Separate,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,7,7,2 dependents,"$13,850","$3,200",Yes
Central Desk,Online,Self-employed,2021 TY,"$11,280",Itemized,"$60,150","$3,760",Head of Household,2-page,5.50%,Simple,On time,No,No,4954.78,4 stars,6,8,1 dependent,"$26,340","$2,400",Yes
Highland Desk,Online,Royalty,2022 TY,"$4,280",Itemized,"$8,560","$29,960",Head of Household,2-page,3.00%,Simple,On time,No,Yes,0.0,4 stars,7,4,0 dependents,"$37,600",$800,Yes
Central Desk,Online,Wages,2022 TY,"$47,270",Standard,"$1,540","$2,570",Single,2-page,4.75%,Simple,3-year amend,Yes,No,5280.51,4 stars,4,5,3 dependents,"$13,850",$0,Yes
North Desk,Online,Mixed,2019 TY,"$60,140",Itemized,"$27,340","$21,870",Single,2-page,0.00%,Simple,On time,No,No,12553.39,4 stars,6,12,2 dependents,"$20,060",$0,No
North Desk,Preparer,Investment,2023 TY,"$24,510",Standard,"$12,250","$85,780",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,9562.13,4 stars,1,18,1 dependent,"$13,850","$1,600",No
Central Desk,Preparer,Pension,2022 TY,"$48,530",Itemized,$0,"$8,560",Single,2-page,4.75%,Simple,On time,Yes,No,3003.48,5 stars,5,6,1 dependent,"$22,990","$1,600",Yes
North Desk,Online,Mixed,2020 TY,"$13,680",Itemized,"$6,220","$4,970",Head of Household,2-page,3.00%,Simple,On time,Yes,Yes,1006.46,5 stars,1,2,3 dependents,"$42,680",$0,Yes
River Desk,Walk-in,Self-employed,2023 TY,"$20,570",Standard,"$109,700","$6,860",Married Joint,16-page,7.00%,Audit-ready,On time,Yes,No,18872.56,4 stars,7,20,3 dependents,"$27,700","$4,800",Yes
Harbor Desk,Online,Self-employed,2023 TY,"$4,210",Standard,"$22,470","$1,400",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,1289.31,5 stars,6,8,1 dependent,"$13,850","$1,600",Yes
Central Desk,Walk-in,Pension,2023 TY,"$61,590",Standard,$0,"$10,870",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,7042.02,5 stars,10,8,0 dependents,"$20,800",$0,No
Central Desk,Online,Wages,2022 TY,"$79,600",Standard,"$2,600","$4,330",Married Joint,2-page,0.00%,Simple,On time,Yes,No,8617.28,5 stars,5,9,0 dependents,"$27,700",$0,No
Central Desk,Online,Contract,2023 TY,"$29,110",Itemized,"$49,900","$4,160",Single,8-page,5.50%,Schedule-heavy,2-year amend,Yes,No,6124.93,4 stars,2,14,2 dependents,"$26,770","$3,400",Yes
North Desk,Walk-in,Wages,2022 TY,"$38,160",Standard,"$1,240","$2,070",Single,2-page,0.00%,Simple,On time,Yes,Yes,1095.28,5 stars,2,4,1 dependent,"$13,850","$2,400",No
North Desk,Walk-in,Pension,2022 TY,"$42,860",Standard,$0,"$7,560",Married Joint,2-page,3.00%,Simple,2-year amend,Yes,Yes,2368.7,4 stars,9,5,0 dependents,"$27,700",$0,Yes
Prairie Desk,Preparer,Wages,2019 TY,"$46,640",Standard,"$1,520","$2,530",Married Separate,2-page,4.75%,Simple,On time,Yes,No,5158.66,5 stars,11,5,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Wages,2023 TY,"$57,680",Itemized,"$1,880","$3,130",Single,2-page,3.00%,Simple,On time,Yes,No,2923.58,5 stars,0,6,3 dependents,"$31,990",$0,Yes
Highland Desk,Preparer,Wages,2023 TY,"$51,520",Standard,"$1,680","$2,800",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,No,0.0,5 stars,8,11,3 dependents,"$20,800","$4,800",Yes
Highland Desk,Preparer,Mixed,2022 TY,"$9,260",Standard,"$4,210","$3,370",Head of Household,2-page,4.75%,Simple,On time,Yes,Yes,0.0,5 stars,5,1,3 dependents,"$20,800","$5,600",Yes
Central Desk,Online,Wages,2022 TY,"$81,810",Standard,"$2,670","$4,450",Head of Household,2-page,0.00%,Simple,On time,Yes,No,8880.45,5 stars,3,9,1 dependent,"$20,800","$1,600",No
Central Desk,Online,Wages,2023 TY,"$55,250",Standard,"$1,800","$3,000",Single,2-page,6.20%,Simple,On time,Yes,Yes,3862.5,5 stars,6,6,2 dependents,"$13,850","$3,200",Yes
Capitol Desk,Preparer,Mixed,2023 TY,"$34,900",Standard,"$15,860","$12,690",Single,2-page,4.75%,Simple,On time,Yes,No,3249.67,5 stars,11,7,2 dependents,"$13,850","$3,200",Yes
Prairie Desk,Preparer,Wages,2021 TY,"$44,670",Standard,"$1,460","$2,430",Head of Household,2-page,5.50%,Simple,No filing yet,No,No,3544.4,3 stars,2,5,0 dependents,"$20,800",$0,Yes
Harbor Desk,Walk-in,Investment,Not Available,"$23,330",Standard,"$11,660","$81,650",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,10842.3,5 stars,10,17,0 dependents,"$13,850",$200,No
Central Desk,Online,Contract,2023 TY,"$14,690",Standard,"$25,180","$2,100",Married Joint,2-page,5.50%,Simple,3-year amend,Yes,No,0.0,4 stars,3,4,4 dependents,"$27,700","$6,400",Yes
Harbor Desk,Online,Self-employed,Not Available,"$1,800",Standard,"$9,600",$600,Married Separate,2-page,3.00%,Simple,On time,Yes,No,0.0,5 stars,8,1,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,Not Available,"$66,030",Standard,"$2,150","$3,590",Single,2-page,4.75%,Simple,On time,Yes,Yes,8514.88,5 stars,0,7,1 dependent,"$13,850","$1,600",Yes
River Desk,Preparer,Wages,2023 TY,"$68,500",Itemized,"$2,230","$3,720",Married Separate,8-page,3.00%,Schedule-heavy,On time,Yes,No,6850.72,5 stars,0,13,1 dependent,"$28,130",$0,Yes
Harbor Desk,Online,Contract,2023 TY,"$21,490",Standard,"$36,850","$3,070",Head of Household,2-page,7.00%,Simple,On time,Yes,Yes,5893.02,5 stars,0,6,1 dependent,"$20,800","$1,600",Yes
Central Desk,Walk-in,Wages,2022 TY,"$31,690",Standard,"$1,030","$1,720",Married Separate,16-page,3.00%,Audit-ready,No filing yet,Yes,No,3457.28,3 stars,11,8,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Wages,2020 TY,"$59,000",Standard,"$1,920","$3,210",Married Joint,8-page,7.00%,Schedule-heavy,No filing yet,No,Yes,5920.13,3 stars,8,12,2 dependents,"$27,700",$0,Yes
North Desk,Online,Contract,2022 TY,"$9,100",Standard,"$15,600","$1,300",Head of Household,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,8,2,0 dependents,"$20,800",$400,Yes
Central Desk,Preparer,Farm,2023 TY,"$5,780",Standard,"$16,190","$1,160",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,764.68,5 stars,1,7,2 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Wages,2022 TY,"$40,460",Standard,"$1,320","$2,200",Married Separate,2-page,3.00%,Simple,No filing yet,No,No,3802.3,3 stars,15,4,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Self-employed,2023 TY,"$15,210",Standard,"$81,110","$5,070",Head of Household,16-page,4.75%,Audit-ready,On time,Yes,Yes,16172.47,4 stars,9,16,1 dependent,"$20,800",$0,Yes
North Desk,Online,Mixed,2020 TY,"$36,920",Standard,"$16,780","$13,420",Married Separate,16-page,7.00%,Audit-ready,On time,No,No,8789.5,3 stars,5,12,2 dependents,"$13,850",$0,Yes
North Desk,Online,Investment,2022 TY,"$14,940",Itemized,"$7,470","$52,300",Single,2-page,5.50%,Simple,On time,Yes,No,5512.61,5 stars,10,8,0 dependents,"$16,700",$0,Yes
Prairie Desk,Preparer,Wages,2022 TY,"$100,200",Standard,"$3,270","$5,450",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,20237.09,5 stars,1,17,0 dependents,"$13,850",$0,Yes
North Desk,Walk-in,Wages,2022 TY,"$64,820",Itemized,"$2,110","$3,520",Single,2-page,0.00%,Simple,On time,No,No,2106.4,4 stars,3,7,2 dependents,"$17,420","$3,200",No
Harbor Desk,Online,Self-employed,2020 TY,"$12,480",Standard,"$66,560","$4,160",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,9821.9,5 stars,0,9,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,2020 TY,"$48,880",Standard,"$1,590","$2,660",Married Joint,8-page,0.00%,Schedule-heavy,2-year amend,No,No,2241.64,3 stars,1,10,0 dependents,"$27,700",$0,No
North Desk,Preparer,Self-employed,2023 TY,"$7,430",Standard,"$39,620","$2,480",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,No,1099.26,4 stars,10,10,1 dependent,"$27,700","$1,600",No
River Desk,Walk-in,Wages,2022 TY,"$11,040",Standard,$360,$600,Married Joint,2-page,3.00%,Simple,2-year amend,No,Yes,0.0,3 stars,9,1,3 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Pension,2019 TY,"$53,970",Itemized,$0,"$9,520",Married Separate,8-page,4.75%,Schedule-heavy,No filing yet,Yes,No,5859.02,4 stars,12,12,1 dependent,"$19,970","$1,600",Yes
Highland Desk,Preparer,Investment,2019 TY,"$24,260",Standard,"$12,130","$84,920",Head of Household,8-page,6.20%,Schedule-heavy,On time,Yes,No,13716.5,5 stars,10,18,0 dependents,"$20,800",$0,Yes
River Desk,Online,Mixed,2022 TY,"$39,940",Standard,"$18,160","$14,530",Single,2-page,6.20%,Simple,On time,Yes,No,3117.09,5 stars,9,8,4 dependents,"$13,850","$6,400",Yes
Prairie Desk,Preparer,Investment,2020 TY,"$18,170",Itemized,"$9,090","$63,600",Married Separate,8-page,3.00%,Schedule-heavy,On time,No,No,3951.05,4 stars,4,15,1 dependent,"$21,100","$1,600",Yes
North Desk,Walk-in,Wages,2023 TY,"$73,290",Standard,"$2,390","$3,980",Married Joint,8-page,4.75%,Schedule-heavy,No filing yet,Yes,No,6662.59,4 stars,6,13,1 dependent,"$27,700","$1,600",Yes
Prairie Desk,Walk-in,Mixed,2023 TY,"$17,250",Standard,"$7,840","$6,270",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,No,0.0,5 stars,1,8,0 dependents,"$27,700",$0,Yes
River Desk,Preparer,Wages,2021 TY,"$44,020",Standard,"$1,440","$2,390",Single,16-page,4.75%,Audit-ready,2-year amend,No,No,4903.05,2 stars,9,10,0 dependents,"$13,850",$0,Yes
Harbor Desk,Preparer,Pension,2022 TY,"$25,350",Standard,$0,"$4,470",Married Separate,2-page,0.00%,Simple,On time,Yes,No,2637.83,5 stars,11,3,0 dependents,"$13,850",$0,No
Capitol Desk,Walk-in,Pension,2020 TY,"$64,890",Standard,$0,"$11,450",Qualifying Widow,2-page,4.75%,Simple,On time,Yes,Yes,6801.17,5 stars,6,8,1 dependent,"$27,700",$200,Yes
Prairie Desk,Online,Contract,2021 TY,"$32,030",Standard,"$54,910","$4,580",Married Separate,2-page,5.50%,Simple,On time,Yes,No,16667.91,5 stars,5,10,0 dependents,"$13,850",$0,Yes
Harbor Desk,Online,Pension,2023 TY,"$10,840",Standard,$0,"$1,910",Head of Household,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,10,1,1 dependent,"$20,800","$1,600",Yes
Prairie Desk,Walk-in,Farm,2022 TY,"$3,000",Standard,"$8,400",$600,Qualifying Widow,2-page,5.50%,Simple,On time,Yes,Yes,261.87,5 stars,4,1,0 dependents,"$27,700",$0,Yes
Central Desk,Online,Wages,2023 TY,"$54,120",Standard,"$1,760","$2,940",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,4454.28,5 stars,4,11,0 dependents,"$13,850",$200,No
River Desk,Online,Contract,2021 TY,"$18,820",Itemized,"$32,260","$2,690",Married Joint,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,10,5,0 dependents,"$55,210",$0,Yes
Delta Desk,Online,Mixed,2021 TY,"$21,050",Standard,"$9,570","$7,650",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,0.0,5 stars,4,9,1 dependent,"$27,700","$2,400",Yes
Central Desk,Preparer,Mixed,2022 TY,"$74,990",Itemized,"$34,090","$27,270",Qualifying Widow,2-page,6.20%,Simple,On time,Yes,No,9058.08,5 stars,11,15,2 dependents,"$61,730","$3,600",Yes
Capitol Desk,Preparer,Mixed,2022 TY,"$48,060",Standard,"$21,840","$17,480",Single,2-page,4.75%,Simple,On time,Yes,No,12975.26,5 stars,1,9,0 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Wages,Not Available,"$67,520",Standard,"$2,200","$3,670",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,7130.16,5 stars,5,13,0 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Wages,2020 TY,"$41,760",Standard,"$1,360","$2,270",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,No,4148.72,5 stars,5,10,0 dependents,"$20,800",$0,Yes
