aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
A320neo,AIRBUS,2006,"37,495 hrs","22,017 cycles",LEAP-1A,"2,085 hrs","1,134 cycles",C-Check Due,MSG-3,On Lease,Middle East,No,No,None,Good,180 seats,0 ADs,46,58.7,"1,736 kg/hr",19919000.0,18696000.0,19553000.0
A320neo,airbus,1998,"76,614 hrs","37,456 cycles",LEAP-1A,846 hrs,426 cycles,Fresh C-Check,MSG-3,On Lease,Africa,Yes,No,None,Good,180 seats,1 ADs,27,34.3,"2,534 kg/hr",10354000.0,10098000.0,9465000.0
787-9,Boeing,2017,"22,933 hrs","11,253 cycles",Trent 1000,"7,741 hrs","3,243 cycles",Fresh C-Check,OEM Managed,Owned,Asia-Pacific,No,No,None,Good,296 seats,0 ADs,40,73.0,"3,038 kg/hr",104960000.0,92404000.0,95381000.0
737-800,boeing,2005,"48,022 hrs","22,120 cycles",CFM56-7B,"7,493 hrs","3,826 cycles",D-Check Due,OEM Managed,Owned,North America,Yes,No,Minor,Good,189 seats,1 ADs,7,43.0,"3,126 kg/hr",10128000.0,9900000.0,9507000.0
E175,Embraer,1998,"65,497 hrs","30,076 cycles",CF34-8E,"3,347 hrs","2,142 cycles",Fresh C-Check,MSG-3,Owned,Africa,Yes,No,None,Good,76 seats,2 ADs,55,82.5,"2,029 kg/hr",7019000.0,5979000.0,6494000.0
A330-300,AIRBUS,2000,"52,980 hrs","37,705 cycles",CF6-80E1,"5,083 hrs","3,329 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,No,None,Excellent,277 seats,2 ADs,53,50.8,"2,323 kg/hr",26647000.0,20997000.0,20251000.0
ATR 72-600,atr,2017,"24,214 hrs","12,562 cycles",PW127M,547 hrs,381 cycles,C-Check Due,MSG-3,On Lease,Africa,No,No,None,Poor,70 seats,0 ADs,54,41.6,"4,376 kg/hr",19176000.0,13610000.0,15016000.0
777-300ER,boeing,2014,"23,761 hrs","13,099 cycles",GE90-115B,"8,147 hrs","6,000 cycles",D-Check Due,MSG-3,Off Lease,Latin America,Yes,No,None,Poor,396 seats,1 ADs,29,49.9,"3,344 kg/hr",58105000.0,50556000.0,52438000.0
A320neo,Airbus,2021,"10,411 hrs","5,030 cycles",LEAP-1A,"6,772 hrs","3,073 cycles",D-Check Due,MSG-3,Off Lease,Europe,Yes,No,None,Excellent,180 seats,1 ADs,9,67.2,"2,387 kg/hr",48555000.0,43019000.0,39333000.0
737-800,boeing,2002,"53,185 hrs","28,056 cycles",CFM56-7B,"3,161 hrs","1,790 cycles",C-Check Due,OEM Managed,On Lease,Middle East,No,No,None,Poor,189 seats,1 ADs,50,38.0,"3,254 kg/hr",10882000.0,9462000.0,8271000.0
787-9,boeing,2017,"21,718 hrs","12,334 cycles",GEnx-1B,"2,552 hrs","1,550 cycles",D-Check Due,MSG-3,Owned,Africa,Yes,Yes,None,Good,296 seats,0 ADs,20,77.6,"3,601 kg/hr",105673000.0,83405000.0,87605000.0
A320-200,AIRBUS,2009,"46,018 hrs","22,415 cycles",CFM56-5B,"8,646 hrs","6,293 cycles",C-Check Due,Hourly Inspection,On Lease,Latin America,Yes,Yes,None,Poor,180 seats,3 ADs,54,17.6,"3,683 kg/hr",17392000.0,14016000.0,12829000.0
CRJ900,bombardier,2018,"15,797 hrs","10,775 cycles",CF34-8C5,"3,817 hrs","2,126 cycles",D-Check Due,OEM Managed,On Lease,Middle East,Yes,No,None,Excellent,76 seats,0 ADs,28,58.9,"2,336 kg/hr",16557000.0,17648000.0,16749000.0
A320-200,Airbus,2022,"11,411 hrs","5,362 cycles",CFM56-5B,"8,194 hrs","4,299 cycles",Fresh C-Check,Hourly Inspection,Owned,North America,No,No,None,Excellent,180 seats,1 ADs,3,50.7,"3,558 kg/hr",49948000.0,44456000.0,44039000.0
A320-200,airbus,2016,"29,932 hrs","24,103 cycles",V2500,"7,573 hrs","3,558 cycles",Fresh C-Check,Hourly Inspection,On Lease,Africa,No,No,Minor,Fair,180 seats,1 ADs,57,44.5,"1,717 kg/hr",31801000.0,26007000.0,24125000.0
A330-300,Airbus,2012,"45,840 hrs","30,058 cycles",Trent 700,"3,056 hrs","1,628 cycles",D-Check Due,MSG-3,Off Lease,Latin America,Yes,No,None,Excellent,277 seats,2 ADs,26,69.6,"2,894 kg/hr",29742000.0,38542000.0,38454000.0
747-8F,BOEING,2000,"86,837 hrs","41,596 cycles",GEnx-2B,"3,124 hrs","1,817 cycles",C-Check Due,MSG-3,Owned,Latin America,Yes,Yes,None,Poor,Freighter (0 seats),1 ADs,11,46.7,"2,603 kg/hr",23164000.0,27466000.0,28566000.0
737-800,boeing,2004,"57,834 hrs","29,647 cycles",CFM56-7B,"2,900 hrs","1,543 cycles",Fresh C-Check,OEM Managed,Owned,Europe,Yes,Yes,None,Good,189 seats,1 ADs,57,70.4,"2,092 kg/hr",14693000.0,13227000.0,13763000.0
777-300ER,boeing,2011,"25,259 hrs","19,675 cycles",GE90-115B,"6,663 hrs","3,204 cycles",D-Check Due,MSG-3,Off Lease,Middle East,No,Yes,None,Fair,396 seats,1 ADs,36,31.0,"2,994 kg/hr",39790000.0,42368000.0,44331000.0
A320neo,airbus,2002,"77,179 hrs","36,021 cycles",PW1100G,"7,165 hrs","3,743 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,No,None,Excellent,180 seats,0 ADs,58,39.2,"3,435 kg/hr",12256000.0,11537000.0,10966000.0
A320-200,Airbus,1998,"55,569 hrs","27,597 cycles",V2500,"2,814 hrs","1,475 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,Yes,None,Fair,180 seats,1 ADs,52,43.4,"1,771 kg/hr",7967000.0,9548000.0,9779000.0
CRJ900,bombardier,2012,"36,678 hrs","24,786 cycles",CF34-8C5,"4,565 hrs","2,414 cycles",D-Check Due,MSG-3,Owned,Africa,Yes,No,None,Poor,76 seats,3 ADs,36,51.2,"1,622 kg/hr",9429000.0,9117000.0,9863000.0
A330-300,AIRBUS,2000,"92,484 hrs","56,617 cycles",Trent 700,"6,712 hrs","5,132 cycles",Fresh C-Check,MSG-3,Owned,Middle East,Yes,Yes,None,Excellent,277 seats,0 ADs,3,68.8,"1,719 kg/hr",24682000.0,22369000.0,21802000.0
CRJ900,bombardier,1998,"61,167 hrs","31,673 cycles",CF34-8C5,"2,770 hrs","1,202 cycles",Fresh C-Check,MSG-3,On Lease,North America,Yes,Yes,Major,Excellent,76 seats,1 ADs,43,60.8,"1,847 kg/hr",5163000.0,4250000.0,4462000.0
777-300ER,Boeing,1998,"72,871 hrs","31,171 cycles",GE90-115B,"3,649 hrs","2,594 cycles",Fresh C-Check,MSG-3,On Lease,Africa,No,No,None,Fair,396 seats,Not Reported,56,45.5,"2,053 kg/hr",26648000.0,21049000.0,22808000.0
A320neo,airbus,2002,"72,093 hrs","37,154 cycles",PW1100G,"4,245 hrs","2,397 cycles",Fresh C-Check,MSG-3,Owned,Latin America,No,Yes,None,Fair,180 seats,2 ADs,2,34.0,"2,649 kg/hr",10924000.0,11140000.0,10459000.0
E175,Embraer,2001,"78,699 hrs","33,321 cycles",CF34-8E,930 hrs,476 cycles,Fresh D-Check,Hourly Inspection,Off Lease,Africa,Yes,No,None,Good,76 seats,0 ADs,30,15.9,"3,161 kg/hr",8209000.0,6274000.0,6617000.0
E175,Embraer,2016,"34,530 hrs","16,818 cycles",CF34-8E,749 hrs,539 cycles,C-Check Due,MSG-3,Owned,Asia-Pacific,No,No,None,Poor,76 seats,1 ADs,33,69.5,"2,789 kg/hr",17182000.0,15971000.0,15734000.0
CRJ900,bombardier,2013,"37,195 hrs","17,127 cycles",CF34-8C5,997 hrs,592 cycles,D-Check Due,MSG-3,On Lease,Middle East,No,Yes,Minor,Fair,76 seats,0 ADs,21,67.8,"2,043 kg/hr",10781000.0,10870000.0,11012000.0
737 MAX 8,Boeing,2010,"32,303 hrs","17,521 cycles",LEAP-1B,"2,175 hrs","1,282 cycles",Fresh D-Check,MSG-3,On Lease,North America,Yes,No,None,Excellent,178 seats,0 ADs,8,56.5,"1,008 kg/hr",30843000.0,26574000.0,29657000.0
ATR 72-600,atr,2006,"61,652 hrs","30,266 cycles",PW127M,"8,330 hrs","3,559 cycles",D-Check Due,Hourly Inspection,On Lease,Africa,No,Yes,None,Poor,70 seats,1 ADs,8,64.2,"3,819 kg/hr",5770000.0,5007000.0,5043000.0
CRJ900,Bombardier,2015,"31,773 hrs","21,572 cycles",CF34-8C5,"2,592 hrs","1,775 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,No,None,Good,76 seats,2 ADs,4,43.9,"2,712 kg/hr",16052000.0,13763000.0,12922000.0
A320-200,AIRBUS,2012,"31,577 hrs","14,191 cycles",V2500,"6,579 hrs","3,344 cycles",Fresh C-Check,OEM Managed,On Lease,Asia-Pacific,No,Yes,None,Good,180 seats,3 ADs,55,53.4,"2,124 kg/hr",20734000.0,23888000.0,22402000.0
A330-300,Airbus,2021,"10,850 hrs","5,344 cycles",PW4000,"5,664 hrs","2,372 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,Yes,None,Good,277 seats,1 ADs,38,70.1,"2,719 kg/hr",96574000.0,85498000.0,91225000.0
737 MAX 8,BOEING,2015,"20,998 hrs","15,636 cycles",LEAP-1B,"6,771 hrs","3,041 cycles",D-Check Due,OEM Managed,On Lease,Africa,No,Yes,None,Excellent,178 seats,0 ADs,25,49.2,"2,889 kg/hr",28665000.0,28194000.0,26166000.0
A320-200,airbus,2006,"44,428 hrs","31,138 cycles",CFM56-5B,"6,214 hrs","4,388 cycles",Fresh D-Check,MSG-3,Off Lease,Latin America,No,No,None,Fair,180 seats,Not Reported,50,65.3,"2,397 kg/hr",15586000.0,16091000.0,15718000.0
737-800,Boeing,2011,"39,957 hrs","21,580 cycles",CFM56-7B,"7,694 hrs","3,411 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,None,Good,189 seats,0 ADs,11,46.3,"1,456 kg/hr",17217000.0,20022000.0,19270000.0
A330-300,airbus,2019,"19,541 hrs","8,620 cycles",PW4000,"6,141 hrs","4,351 cycles",C-Check Due,MSG-3,Owned,Europe,Yes,Yes,None,Fair,277 seats,0 ADs,14,84.2,"1,507 kg/hr",73787000.0,74428000.0,75184000.0
737-800,BOEING,2012,"37,028 hrs","25,422 cycles",CFM56-7B,"7,419 hrs","5,028 cycles",D-Check Due,MSG-3,Off Lease,Europe,No,Yes,None,Good,189 seats,0 ADs,20,62.8,"2,583 kg/hr",16421000.0,16541000.0,16247000.0
A320neo,Airbus,2007,"51,204 hrs","20,909 cycles",PW1100G,"7,806 hrs","5,881 cycles",Fresh C-Check,OEM Managed,On Lease,Africa,Yes,Yes,None,Fair,180 seats,0 ADs,30,72.1,"3,630 kg/hr",20395000.0,18868000.0,19854000.0
777-300ER,Boeing,2019,"15,774 hrs","8,154 cycles",GE90-115B,"6,045 hrs","2,597 cycles",C-Check Due,MSG-3,Off Lease,Africa,Yes,No,None,Excellent,396 seats,1 ADs,51,57.2,"2,532 kg/hr",96447000.0,84715000.0,89496000.0
A350-900,Airbus,2019,"15,660 hrs","7,240 cycles",Trent XWB,"2,838 hrs","2,020 cycles",Fresh C-Check,MSG-3,Owned,North America,No,No,None,Good,325 seats,2 ADs,59,35.8,"1,874 kg/hr",127972000.0,103553000.0,89827000.0
A320neo,airbus,2011,"32,170 hrs","20,896 cycles",PW1100G,"3,614 hrs","2,067 cycles",C-Check Due,Hourly Inspection,On Lease,North America,Yes,No,None,Fair,180 seats,0 ADs,26,57.2,"2,853 kg/hr",29796000.0,23952000.0,25522000.0
747-8F,Boeing,2022,"10,463 hrs","3,730 cycles",GEnx-2B,293 hrs,123 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Good,Freighter (0 seats),1 ADs,12,62.4,"3,497 kg/hr",131691000.0,148399000.0,158091000.0
737 MAX 8,BOEING,1998,"87,827 hrs","35,948 cycles",LEAP-1B,"7,221 hrs","4,000 cycles",C-Check Due,MSG-3,On Lease,North America,Yes,No,None,Good,178 seats,1 ADs,59,53.6,"3,521 kg/hr",10929000.0,9085000.0,9233000.0
787-9,boeing,1998,"105,828 hrs","58,729 cycles",Trent 1000,"6,885 hrs","3,756 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Good,296 seats,4 ADs,10,58.7,"3,766 kg/hr",25743000.0,24665000.0,23514000.0
737-800,boeing,2019,"20,247 hrs","9,765 cycles",CFM56-7B,"3,119 hrs","1,471 cycles",D-Check Due,Hourly Inspection,On Lease,Europe,Yes,No,None,Fair,189 seats,2 ADs,22,39.0,"3,524 kg/hr",30768000.0,25404000.0,27538000.0
A320neo,Airbus,2002,"67,374 hrs","38,076 cycles",PW1100G,"6,454 hrs","3,119 cycles",D-Check Due,MSG-3,On Lease,Middle East,Yes,Yes,None,Fair,180 seats,0 ADs,50,18.9,"3,763 kg/hr",9591000.0,8991000.0,9790000.0
737-800,boeing,2020,"12,560 hrs","7,322 cycles",CFM56-7B,"5,502 hrs","3,040 cycles",D-Check Due,MSG-3,On Lease,Latin America,No,No,None,Good,189 seats,1 ADs,31,11.7,"3,446 kg/hr",29473000.0,27031000.0,28725000.0
A320neo,Airbus,2016,"18,769 hrs","13,673 cycles",PW1100G,"1,972 hrs",869 cycles,D-Check Due,Hourly Inspection,Owned,Europe,Yes,No,None,Excellent,180 seats,2 ADs,3,53.0,"1,469 kg/hr",37249000.0,34039000.0,29270000.0
A330-300,AIRBUS,2016,"16,719 hrs","11,233 cycles",PW4000,"3,519 hrs","1,858 cycles",C-Check Due,MSG-3,Off Lease,North America,No,No,Minor,Good,277 seats,3 ADs,46,50.7,"1,417 kg/hr",61314000.0,52769000.0,49735000.0
ATR 72-600,atr,2017,"26,756 hrs","13,606 cycles",PW127M,"8,891 hrs","6,628 cycles",C-Check Due,MSG-3,On Lease,North America,No,Yes,Minor,Good,70 seats,Not Reported,18,65.7,"2,318 kg/hr",13870000.0,13239000.0,13774000.0
737-800,Boeing,2019,"19,161 hrs","10,727 cycles",CFM56-7B,"2,423 hrs","1,246 cycles",D-Check Due,MSG-3,Off Lease,Latin America,Yes,Yes,None,Fair,189 seats,1 ADs,43,38.7,"2,914 kg/hr",23518000.0,27464000.0,24139000.0
E175,embraer,2020,"10,535 hrs","7,870 cycles",CF34-8E,"8,418 hrs","4,172 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Excellent,76 seats,0 ADs,52,30.4,"2,562 kg/hr",24823000.0,23639000.0,23547000.0
A320-200,airbus,2015,"21,119 hrs","11,587 cycles",CFM56-5B,"2,954 hrs","1,763 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Fair,180 seats,1 ADs,0,59.9,"3,350 kg/hr",23391000.0,24726000.0,26634000.0
787-9,Boeing,2004,"72,204 hrs","34,383 cycles",Trent 1000,"2,464 hrs","1,193 cycles",Fresh C-Check,OEM Managed,On Lease,Africa,No,No,None,Fair,296 seats,0 ADs,34,69.5,"2,684 kg/hr",35186000.0,33810000.0,35319000.0
CRJ900,bombardier,2004,"79,447 hrs","52,039 cycles",CF34-8C5,"8,583 hrs","4,921 cycles",D-Check Due,Hourly Inspection,On Lease,Middle East,Yes,No,None,Fair,76 seats,0 ADs,26,29.9,"2,541 kg/hr",4410000.0,4889000.0,4377000.0
737 MAX 8,BOEING,1999,"72,795 hrs","31,894 cycles",LEAP-1B,"6,488 hrs","3,315 cycles",D-Check Due,MSG-3,Owned,North America,No,No,Major,Excellent,178 seats,2 ADs,47,38.0,"2,083 kg/hr",5612000.0,6153000.0,6017000.0
747-8F,boeing,2004,"45,127 hrs","25,285 cycles",GEnx-2B,"7,014 hrs","3,535 cycles",D-Check Due,OEM Managed,Off Lease,Latin America,Yes,Yes,Minor,Good,Freighter (0 seats),1 ADs,11,63.4,"3,068 kg/hr",35092000.0,38659000.0,35046000.0
777-300ER,BOEING,2022,"6,440 hrs","2,920 cycles",GE90-115B,"6,440 hrs","2,920 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,Yes,None,Fair,396 seats,3 ADs,22,42.5,"1,908 kg/hr",104485000.0,104671000.0,101102000.0
747-8F,Boeing,2003,"53,899 hrs","22,535 cycles",GEnx-2B,"6,905 hrs","4,442 cycles",Fresh C-Check,OEM Managed,Owned,Middle East,No,No,None,Good,Freighter (0 seats),3 ADs,55,17.8,"1,992 kg/hr",28514000.0,33998000.0,33886000.0
747-8F,Boeing,2011,"42,953 hrs","22,508 cycles",GEnx-2B,"8,714 hrs","4,623 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,None,Fair,Freighter (0 seats),2 ADs,15,52.8,"2,080 kg/hr",65964000.0,62389000.0,63721000.0
737 MAX 8,BOEING,2008,"45,657 hrs","19,029 cycles",LEAP-1B,"8,320 hrs","4,534 cycles",Fresh D-Check,MSG-3,On Lease,Latin America,Yes,Yes,Minor,Fair,178 seats,0 ADs,33,79.2,"1,897 kg/hr",21250000.0,20287000.0,18991000.0
A320-200,Airbus,2022,"9,815 hrs","5,631 cycles",CFM56-5B,"7,156 hrs","4,852 cycles",Fresh C-Check,OEM Managed,On Lease,North America,Yes,No,None,Good,180 seats,1 ADs,11,36.3,"1,946 kg/hr",43896000.0,44235000.0,43845000.0
A350-900,Airbus,2013,"40,121 hrs","19,334 cycles",Trent XWB,"4,317 hrs","2,070 cycles",Fresh C-Check,MSG-3,Owned,Africa,No,No,None,Fair,325 seats,1 ADs,59,67.1,"3,401 kg/hr",64365000.0,64874000.0,60950000.0
CRJ900,bombardier,2002,"71,798 hrs","44,733 cycles",CF34-8C5,490 hrs,281 cycles,Fresh C-Check,MSG-3,On Lease,Africa,Yes,No,None,Fair,76 seats,1 ADs,21,67.4,"3,498 kg/hr",6788000.0,6617000.0,5797000.0
777-300ER,boeing,2000,"73,896 hrs","30,236 cycles",GE90-115B,"2,309 hrs","1,731 cycles",D-Check Due,OEM Managed,On Lease,Asia-Pacific,Yes,No,None,Good,396 seats,3 ADs,46,54.1,"3,728 kg/hr",22520000.0,21308000.0,21943000.0
ATR 72-600,atr,2018,"25,879 hrs","15,466 cycles",PW127M,"5,312 hrs","3,482 cycles",D-Check Due,OEM Managed,Off Lease,Asia-Pacific,Yes,Yes,None,Good,70 seats,0 ADs,35,41.8,"2,321 kg/hr",15922000.0,12270000.0,11649000.0
737 MAX 8,BOEING,2005,"62,422 hrs","37,917 cycles",LEAP-1B,"3,260 hrs","1,627 cycles",D-Check Due,OEM Managed,On Lease,Latin America,Yes,No,None,Good,178 seats,1 ADs,7,66.1,"3,044 kg/hr",11801000.0,12131000.0,11733000.0
787-9,Boeing,1998,"77,140 hrs","42,844 cycles",Trent 1000,"6,437 hrs","3,073 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,None,Fair,296 seats,2 ADs,46,47.0,"1,871 kg/hr",23573000.0,22423000.0,22828000.0
CRJ900,bombardier,2002,"63,789 hrs","26,919 cycles",CF34-8C5,"2,723 hrs","1,735 cycles",C-Check Due,MSG-3,Off Lease,Europe,No,Yes,None,Good,76 seats,1 ADs,54,46.6,"3,124 kg/hr",5021000.0,5006000.0,4673000.0
A320-200,Airbus,2001,"88,685 hrs","51,311 cycles",CFM56-5B,"6,557 hrs","3,578 cycles",Fresh C-Check,Hourly Inspection,Owned,Middle East,No,No,Minor,Good,180 seats,1 ADs,10,70.3,"3,997 kg/hr",7886000.0,10194000.0,9544000.0
E175,embraer,2013,"43,941 hrs","23,852 cycles",CF34-8E,"3,734 hrs","2,679 cycles",D-Check Due,MSG-3,Owned,Middle East,No,No,None,Excellent,76 seats,0 ADs,17,61.8,"2,393 kg/hr",11387000.0,11188000.0,12607000.0
A330-300,Airbus,2014,"27,851 hrs","12,222 cycles",Trent 700,"2,678 hrs","1,599 cycles",Fresh C-Check,OEM Managed,Off Lease,Asia-Pacific,Yes,No,None,Fair,277 seats,0 ADs,56,64.5,"2,636 kg/hr",56791000.0,55757000.0,52127000.0
A320-200,AIRBUS,2013,"39,814 hrs","19,840 cycles",CFM56-5B,"2,367 hrs",999 cycles,D-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,180 seats,3 ADs,12,31.2,"2,624 kg/hr",22101000.0,17799000.0,18662000.0
737-800,Boeing,1998,"69,747 hrs","31,508 cycles",CFM56-7B,"7,713 hrs","4,523 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,Yes,None,Good,189 seats,1 ADs,52,41.6,"2,341 kg/hr",7816000.0,8780000.0,7835000.0
737 MAX 8,BOEING,2021,"11,419 hrs","5,893 cycles",LEAP-1B,"1,295 hrs",809 cycles,C-Check Due,MSG-3,Off Lease,Middle East,Yes,No,None,Poor,178 seats,1 ADs,5,61.3,"2,295 kg/hr",36337000.0,39398000.0,37980000.0
A330-300,airbus,2001,"81,588 hrs","44,664 cycles",Trent 700,"6,168 hrs","2,583 cycles",Fresh C-Check,Hourly Inspection,On Lease,Middle East,Yes,Yes,None,Excellent,277 seats,1 ADs,6,47.1,"2,335 kg/hr",21665000.0,20189000.0,22566000.0
787-9,BOEING,2019,"18,213 hrs","8,621 cycles",Trent 1000,"3,117 hrs","1,394 cycles",D-Check Due,OEM Managed,Owned,Latin America,Yes,Yes,None,Fair,296 seats,1 ADs,15,79.4,"3,238 kg/hr",79927000.0,93206000.0,91100000.0
E175,Embraer,2018,"20,126 hrs","9,856 cycles",CF34-8E,761 hrs,355 cycles,D-Check Due,Hourly Inspection,On Lease,Africa,No,No,Major,Excellent,76 seats,1 ADs,14,70.5,"2,581 kg/hr",17943000.0,15771000.0,15619000.0
777-300ER,Boeing,2016,"27,248 hrs","14,150 cycles",GE90-115B,683 hrs,324 cycles,Fresh D-Check,MSG-3,Off Lease,Europe,No,No,None,Good,396 seats,3 ADs,53,89.1,"2,970 kg/hr",91692000.0,91144000.0,80390000.0
777-300ER,boeing,2019,"15,357 hrs","8,074 cycles",GE90-115B,"5,432 hrs","3,229 cycles",Fresh C-Check,Hourly Inspection,Owned,North America,Yes,Yes,None,Good,396 seats,3 ADs,5,60.0,"3,129 kg/hr",110747000.0,90856000.0,92659000.0
777-300ER,boeing,1999,"72,187 hrs","40,775 cycles",GE90-115B,"4,627 hrs","2,928 cycles",Fresh C-Check,OEM Managed,Owned,Europe,Yes,No,None,Excellent,396 seats,0 ADs,7,59.7,"1,022 kg/hr",29095000.0,25007000.0,25122000.0
787-9,Boeing,2007,"62,714 hrs","38,074 cycles",GEnx-1B,"8,256 hrs","3,665 cycles",C-Check Due,OEM Managed,Owned,Asia-Pacific,Yes,Yes,None,Good,296 seats,1 ADs,40,38.5,"3,568 kg/hr",36831000.0,34385000.0,36193000.0
787-9,boeing,2008,"54,113 hrs","22,608 cycles",Trent 1000,421 hrs,193 cycles,D-Check Due,OEM Managed,Off Lease,Europe,No,No,None,Excellent,296 seats,1 ADs,2,57.1,"2,828 kg/hr",48840000.0,37070000.0,39594000.0
737-800,Boeing,2013,"19,671 hrs","15,316 cycles",CFM56-7B,"4,450 hrs","2,804 cycles",C-Check Due,MSG-3,Owned,Latin America,Yes,No,Major,Good,189 seats,1 ADs,7,53.3,"1,541 kg/hr",22639000.0,19407000.0,21254000.0
CRJ900,bombardier,2013,"27,075 hrs","11,191 cycles",CF34-8C5,745 hrs,462 cycles,Fresh C-Check,MSG-3,Owned,Middle East,No,Yes,None,Excellent,76 seats,0 ADs,10,28.6,"3,492 kg/hr",12657000.0,13893000.0,12715000.0
777-300ER,boeing,2004,"65,760 hrs","32,185 cycles",GE90-115B,"5,766 hrs","2,679 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Good,396 seats,Not Reported,37,42.1,"2,922 kg/hr",29356000.0,29623000.0,30718000.0
737 MAX 8,BOEING,2009,"44,383 hrs","25,020 cycles",LEAP-1B,"7,798 hrs","3,736 cycles",Fresh D-Check,OEM Managed,Owned,Middle East,No,Yes,None,Fair,178 seats,4 ADs,47,38.1,"3,047 kg/hr",18960000.0,18716000.0,18400000.0
787-9,BOEING,2004,"77,696 hrs","46,260 cycles",Trent 1000,"6,690 hrs","3,252 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Africa,Yes,No,None,Poor,296 seats,0 ADs,22,29.0,900 kg/hr,32553000.0,29388000.0,31612000.0
787-9,Boeing,2006,"63,565 hrs","43,289 cycles",GEnx-1B,"1,659 hrs",794 cycles,Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,None,Poor,296 seats,0 ADs,12,51.0,"2,201 kg/hr",33536000.0,36390000.0,38344000.0
737-800,boeing,2007,"36,180 hrs","25,216 cycles",CFM56-7B,"8,191 hrs","3,504 cycles",C-Check Due,OEM Managed,Off Lease,Asia-Pacific,Yes,No,None,Excellent,189 seats,2 ADs,49,62.7,"1,529 kg/hr",19851000.0,14707000.0,13738000.0
747-8F,Boeing,2009,"36,404 hrs","22,588 cycles",GEnx-2B,"4,873 hrs","3,160 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,Yes,No,None,Fair,Freighter (0 seats),1 ADs,48,51.1,"1,714 kg/hr",50939000.0,65328000.0,63036000.0
A320neo,AIRBUS,2016,"19,357 hrs","9,100 cycles",LEAP-1A,"1,669 hrs",712 cycles,C-Check Due,MSG-3,Owned,Latin America,Yes,No,None,Excellent,180 seats,0 ADs,35,31.2,"2,853 kg/hr",36148000.0,33088000.0,32847000.0
ATR 72-600,atr,2007,"58,727 hrs","35,725 cycles",PW127M,"6,882 hrs","3,623 cycles",C-Check Due,OEM Managed,On Lease,Latin America,No,No,None,Good,70 seats,1 ADs,55,49.1,"2,653 kg/hr",5296000.0,5929000.0,6611000.0
E175,Embraer,2017,"25,525 hrs","13,366 cycles",CF34-8E,"4,718 hrs","2,331 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Middle East,Yes,Yes,None,Good,76 seats,0 ADs,39,46.0,"1,469 kg/hr",24261000.0,20825000.0,19712000.0
CRJ900,Bombardier,2014,"38,961 hrs","28,538 cycles",CF34-8C5,"8,305 hrs","4,848 cycles",C-Check Due,MSG-3,Off Lease,Middle East,Yes,Yes,None,Excellent,76 seats,2 ADs,5,57.6,"2,754 kg/hr",14263000.0,12037000.0,11966000.0
A320neo,airbus,2002,"72,836 hrs","41,411 cycles",PW1100G,470 hrs,250 cycles,Fresh C-Check,MSG-3,On Lease,Latin America,Yes,No,Major,Fair,180 seats,0 ADs,28,23.7,"1,134 kg/hr",10010000.0,8971000.0,8471000.0
737-800,boeing,2005,"61,019 hrs","36,738 cycles",CFM56-7B,948 hrs,675 cycles,Fresh C-Check,OEM Managed,Owned,Europe,No,Yes,None,Excellent,189 seats,2 ADs,19,90.9,"3,616 kg/hr",16657000.0,13196000.0,12540000.0
737-800,BOEING,2001,"56,055 hrs","39,515 cycles",CFM56-7B,"6,294 hrs","2,768 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,Yes,None,Excellent,189 seats,1 ADs,30,54.3,"2,768 kg/hr",11049000.0,10339000.0,10453000.0
777-300ER,Boeing,2015,"39,856 hrs","18,149 cycles",GE90-115B,335 hrs,195 cycles,D-Check Due,MSG-3,Owned,North America,Yes,Yes,None,Good,396 seats,0 ADs,20,48.6,"2,720 kg/hr",52621000.0,55768000.0,56230000.0
