campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
Hill Campus,In-person,Literature,2022 CY,8.5 hours,Required,2.93 GPA,2.0 hours,Senior,10-week,73.9%,Lecture,On time,No,No,71.85,3 stars,9,6,1 partner,12 cr,6.7 hours,No,Small
North Campus,In-person,Chemistry,2022 CY,7.4 hours,Required,2.73 GPA,3.2 hours,Sophomore,16-week,100.0%,Lecture,On time,No,Yes,67.28,2 stars,8,3,0 partners,13 cr,7.7 hours,Yes,Medium
North Campus,Online,Literature,2019 CY,14.3 hours,Required,3.23 GPA,3.5 hours,Sophomore,16-week,66.0%,Studio,Late enroll,No,Yes,84.62,4 stars,12,4,2 partners,13 cr,6.8 hours,Yes,Medium
Harbor Campus,Online,Algebra,2023 CY,9.3 hours,Required,2.69 GPA,2.8 hours,Junior,12-week,82.5%,Lecture,On time,No,Yes,67.06,2 stars,14,4,0 partners,15 cr,6.6 hours,Yes,Medium
River Campus,Online,Biology,2022 CY,15.1 hours,Required,3.64 GPA,7.3 hours,Junior,12-week,72.8%,Lecture,On time,No,Yes,99.0,5 stars,16,6,1 partner,18 cr,7.8 hours,Yes,Medium
River Campus,In-person,Chemistry,Not Available,10.5 hours,Required,3.10 GPA,3.1 hours,Junior,10-week,81.7%,Lecture,On time,Yes,Yes,75.28,3 stars,12,2,3 partners,15 cr,7.3 hours,No,Medium
North Campus,Hybrid,Civics,2021 CY,12.6 hours,Required,3.00 GPA,6.2 hours,Sophomore,10-week,86.1%,Lecture,On time,Yes,Yes,84.84,4 stars,10,4,0 partners,13 cr,7.1 hours,No,Large
Prairie Campus,In-person,Physics,2023 CY,10.9 hours,Required,3.36 GPA,2.6 hours,Senior,16-week,83.7%,Lecture,On time,No,No,64.68,2 stars,15,0,0 partners,18 cr,6.6 hours,No,Large
Grove Campus,In-person,Algebra,Not Available,6.5 hours,Required,3.27 GPA,1.6 hours,Graduate,16-week,100.0%,Lecture,On time,No,No,79.96,3 stars,13,5,2 partners,15 cr,6.4 hours,Yes,Small
Prairie Campus,In-person,Literature,2022 CY,10.3 hours,Required,2.40 GPA,1.9 hours,Sophomore,10-week,91.3%,Lab-heavy,On time,No,No,71.62,3 stars,15,0,1 partner,12 cr,7.8 hours,Yes,Large
Grove Campus,In-person,Biology,2021 CY,15.3 hours,Required,2.55 GPA,2.4 hours,Freshman,16-week,84.4%,Lab-heavy,On time,No,No,65.5,2 stars,14,2,0 partners,16 cr,6.4 hours,Yes,Large
Harbor Campus,In-person,Physics,2023 CY,11.3 hours,Required,3.51 GPA,4.1 hours,Freshman,10-week,81.7%,Lab-heavy,Late enroll,Yes,Yes,76.17,3 stars,16,5,0 partners,13 cr,8.2 hours,Yes,Medium
Delta Campus,In-person,Civics,2022 CY,12.0 hours,Required,3.19 GPA,4.8 hours,Junior,16-week,100.0%,Lab-heavy,On time,No,No,87.8,4 stars,12,6,0 partners,15 cr,5.6 hours,No,Medium
River Campus,Online,Literature,Not Available,11.3 hours,Required,2.39 GPA,4.8 hours,Sophomore,16-week,89.1%,Lecture,2-year retake,No,No,76.6,3 stars,8,1,1 partner,13 cr,8.4 hours,Yes,Large
Capitol Campus,In-person,Literature,2022 CY,10.1 hours,Required,3.46 GPA,1.7 hours,Graduate,12-week,77.6%,Studio,On time,No,No,64.86,2 stars,14,4,0 partners,18 cr,7.3 hours,Yes,Medium
Delta Campus,In-person,History,2021 CY,11.1 hours,Required,2.90 GPA,3.0 hours,Junior,16-week,82.2%,Lab-heavy,On time,No,Yes,72.36,3 stars,14,2,0 partners,12 cr,5.7 hours,Yes,Small
Grove Campus,In-person,Chemistry,2020 CY,10.3 hours,Elective,2.76 GPA,2.0 hours,Junior,16-week,93.7%,Lab-heavy,On time,Yes,No,78.76,3 stars,14,4,0 partners,13 cr,7.4 hours,No,Medium
Delta Campus,In-person,Civics,2023 CY,10.9 hours,Elective,2.63 GPA,4.1 hours,Senior,12-week,92.5%,Lab-heavy,On time,No,No,73.61,3 stars,17,0,1 partner,15 cr,6.1 hours,Yes,Small
River Campus,In-person,Physics,Not Available,4.8 hours,Required,3.60 GPA,1.0 hours,Sophomore,16-week,78.5%,Lecture,On time,Yes,No,67.43,2 stars,15,6,2 partners,16 cr,6.8 hours,Yes,Medium
Harbor Campus,In-person,Chemistry,2019 CY,9.9 hours,Required,2.27 GPA,2.2 hours,Senior,12-week,96.5%,Lecture,On time,No,No,70.46,3 stars,12,0,1 partner,12 cr,6.3 hours,Yes,Small
River Campus,In-person,History,2023 CY,7.9 hours,Elective,2.65 GPA,3.3 hours,Freshman,10-week,74.1%,Lecture,Late enroll,Yes,No,57.27,1 star,8,4,1 partner,12 cr,6.7 hours,No,Medium
River Campus,Online,Algebra,Not Available,9.2 hours,Required,3.20 GPA,5.0 hours,Junior,16-week,99.0%,Lecture,On time,Yes,Yes,76.41,3 stars,11,5,2 partners,18 cr,7.8 hours,Yes,Medium
North Campus,Hybrid,Algebra,2019 CY,13.2 hours,Required,4.00 GPA,4.6 hours,Graduate,16-week,91.3%,Lecture,On time,Yes,No,86.36,4 stars,10,1,0 partners,16 cr,7.4 hours,Yes,Large
North Campus,In-person,Biology,2020 CY,8.2 hours,Required,3.40 GPA,2.8 hours,Senior,12-week,71.7%,Lecture,3-year retake,Yes,Yes,75.72,3 stars,11,5,0 partners,13 cr,5.6 hours,Yes,Medium
North Campus,Online,History,2023 CY,4.6 hours,Required,2.77 GPA,1.2 hours,Senior,12-week,80.7%,Lecture,On time,Yes,No,63.54,2 stars,12,1,0 partners,13 cr,5.6 hours,No,Large
Delta Campus,Hybrid,Stats,2023 CY,11.6 hours,Required,3.84 GPA,2.6 hours,Sophomore,10-week,74.5%,Studio,3-year retake,No,No,80.18,3 stars,12,4,0 partners,13 cr,7.1 hours,No,Large
North Campus,Hybrid,Chemistry,2019 CY,4.6 hours,Required,2.54 GPA,1.6 hours,Senior,12-week,81.6%,Lab-heavy,Late enroll,Yes,No,59.6,2 stars,12,5,3 partners,15 cr,7.2 hours,Yes,Small
Delta Campus,Online,Biology,2023 CY,2.9 hours,Required,3.27 GPA,1.1 hours,Junior,12-week,78.0%,Lecture,Late enroll,No,No,61.39,2 stars,10,3,0 partners,15 cr,6.1 hours,Yes,Medium
River Campus,Hybrid,Algebra,2022 CY,13.4 hours,Required,3.37 GPA,3.8 hours,Junior,16-week,68.5%,Lecture,Late enroll,Yes,Yes,83.44,4 stars,12,4,2 partners,16 cr,8.6 hours,Yes,Small
Hill Campus,Hybrid,History,2023 CY,9.6 hours,Required,2.63 GPA,4.0 hours,Freshman,16-week,72.1%,Lecture,On time,Yes,No,70.94,3 stars,9,3,0 partners,9 cr,7.7 hours,Yes,Large
Capitol Campus,Online,Civics,2023 CY,10.6 hours,Required,3.34 GPA,3.1 hours,Freshman,16-week,91.5%,Studio,On time,No,No,81.54,3 stars,10,7,1 partner,16 cr,6.1 hours,Yes,Medium
Delta Campus,In-person,History,2023 CY,7.7 hours,Required,2.92 GPA,3.0 hours,Junior,16-week,85.9%,Lab-heavy,Late enroll,No,No,75.16,3 stars,14,6,0 partners,9 cr,6.0 hours,Yes,Medium
River Campus,In-person,Physics,2022 CY,4.7 hours,Required,3.34 GPA,0.8 hours,Freshman,12-week,84.1%,Lab-heavy,Late enroll,Yes,No,60.85,2 stars,13,0,0 partners,16 cr,6.5 hours,No,Small
Prairie Campus,In-person,Civics,2021 CY,5.3 hours,Required,2.32 GPA,1.4 hours,Senior,16-week,91.7%,Lecture,On time,No,No,57.27,1 star,9,2,0 partners,9 cr,6.4 hours,Yes,Medium
North Campus,In-person,Algebra,2022 CY,8.2 hours,Required,3.30 GPA,1.3 hours,Senior,16-week,82.8%,Lecture,On time,No,No,79.1,3 stars,13,0,1 partner,12 cr,8.2 hours,Yes,Large
River Campus,In-person,Literature,2020 CY,4.4 hours,Elective,3.11 GPA,1.6 hours,Graduate,16-week,90.8%,Lab-heavy,On time,Yes,No,76.37,3 stars,12,1,1 partner,12 cr,7.9 hours,Yes,Large
Harbor Campus,In-person,Stats,2023 CY,10.1 hours,Required,3.55 GPA,1.8 hours,Freshman,16-week,100.0%,Studio,On time,No,No,78.93,3 stars,12,6,2 partners,12 cr,6.8 hours,Yes,Small
Grove Campus,Online,History,2020 CY,9.0 hours,Required,3.28 GPA,3.5 hours,Graduate,12-week,97.7%,Lecture,On time,No,Yes,75.64,3 stars,11,7,2 partners,13 cr,7.5 hours,Yes,Medium
North Campus,Online,Algebra,2022 CY,11.1 hours,Required,3.59 GPA,5.5 hours,Freshman,12-week,77.1%,Lecture,Late enroll,No,Yes,86.94,4 stars,13,4,1 partner,15 cr,7.7 hours,Yes,Medium
Hill Campus,Hybrid,Stats,2019 CY,9.0 hours,Elective,3.38 GPA,3.4 hours,Sophomore,16-week,74.8%,Lecture,Late enroll,Yes,No,65.3,2 stars,13,5,3 partners,16 cr,6.9 hours,Yes,Medium
Delta Campus,In-person,Civics,2021 CY,9.7 hours,Elective,3.09 GPA,3.3 hours,Senior,16-week,60.4%,Lecture,On time,Yes,No,61.03,2 stars,14,2,0 partners,15 cr,7.2 hours,Yes,Small
Harbor Campus,In-person,Chemistry,2021 CY,10.1 hours,Elective,3.38 GPA,3.6 hours,Freshman,16-week,99.7%,Studio,On time,Yes,No,75.58,3 stars,11,3,0 partners,15 cr,7.5 hours,Yes,Medium
Delta Campus,Online,Literature,2023 CY,9.4 hours,Required,3.39 GPA,4.4 hours,Freshman,16-week,93.9%,Lab-heavy,On time,No,Yes,79.25,3 stars,11,6,0 partners,13 cr,7.3 hours,Yes,Large
Hill Campus,Hybrid,Biology,2023 CY,11.1 hours,Required,3.24 GPA,5.0 hours,Freshman,12-week,80.6%,Lecture,On time,No,Yes,70.8,3 stars,14,2,1 partner,16 cr,5.9 hours,Yes,Medium
Capitol Campus,Hybrid,Civics,2019 CY,9.9 hours,Required,2.12 GPA,2.5 hours,Junior,12-week,71.7%,Lecture,On time,Yes,No,63.01,2 stars,13,2,1 partner,12 cr,6.1 hours,Yes,Medium
Harbor Campus,Hybrid,Chemistry,2023 CY,1.3 hours,Required,2.71 GPA,0.2 hours,Senior,16-week,74.4%,Lecture,On time,Yes,No,51.98,1 star,10,1,1 partner,13 cr,6.5 hours,Yes,Medium
Hill Campus,Hybrid,Algebra,2023 CY,12.6 hours,Required,3.65 GPA,4.8 hours,Freshman,10-week,90.4%,Lecture,On time,Yes,Yes,86.06,4 stars,12,2,2 partners,12 cr,6.0 hours,Yes,Medium
Delta Campus,In-person,Physics,2021 CY,11.0 hours,Required,2.46 GPA,3.0 hours,Freshman,16-week,88.1%,Lecture,On time,Yes,Yes,76.84,3 stars,13,0,0 partners,12 cr,5.2 hours,Yes,Medium
Hill Campus,In-person,Stats,2023 CY,12.3 hours,Required,3.55 GPA,4.8 hours,Junior,16-week,95.9%,Lab-heavy,On time,No,Yes,92.18,4 stars,15,8,2 partners,15 cr,7.5 hours,Yes,Small
River Campus,In-person,Civics,2022 CY,4.4 hours,Elective,3.35 GPA,1.3 hours,Freshman,10-week,89.9%,Lab-heavy,On time,Yes,No,77.73,3 stars,15,6,1 partner,12 cr,7.2 hours,No,Small
Harbor Campus,Online,Biology,2020 CY,8.1 hours,Required,2.82 GPA,1.6 hours,Senior,12-week,95.7%,Lecture,On time,Yes,No,56.95,1 star,11,3,1 partner,12 cr,5.3 hours,Yes,Large
North Campus,Hybrid,Algebra,2022 CY,5.6 hours,Required,2.40 GPA,2.2 hours,Graduate,16-week,89.7%,Lab-heavy,On time,Yes,No,50.88,1 star,17,4,0 partners,16 cr,6.5 hours,Yes,Large
Delta Campus,In-person,Stats,2020 CY,12.9 hours,Required,2.89 GPA,5.9 hours,Senior,16-week,97.3%,Lab-heavy,On time,Yes,Yes,83.73,4 stars,13,1,0 partners,12 cr,6.6 hours,Yes,Medium
Grove Campus,Online,Stats,2023 CY,4.0 hours,Elective,4.00 GPA,1.3 hours,Senior,16-week,65.1%,Lecture,On time,No,No,74.71,3 stars,12,0,0 partners,15 cr,7.0 hours,No,Small
Hill Campus,In-person,Chemistry,Not Available,5.5 hours,Elective,2.76 GPA,2.4 hours,Junior,10-week,76.7%,Lab-heavy,On time,No,No,54.1,1 star,11,4,2 partners,13 cr,5.6 hours,Yes,Small
Harbor Campus,In-person,Literature,2023 CY,12.2 hours,Required,2.79 GPA,4.1 hours,Senior,10-week,85.4%,Lab-heavy,On time,Yes,Yes,78.56,3 stars,14,2,1 partner,16 cr,5.3 hours,No,Small
River Campus,In-person,Chemistry,2022 CY,7.9 hours,Elective,2.58 GPA,3.0 hours,Freshman,12-week,93.8%,Lab-heavy,3-year retake,Yes,Yes,59.08,2 stars,15,6,0 partners,15 cr,7.4 hours,Yes,Large
Capitol Campus,In-person,History,2022 CY,5.5 hours,Elective,3.58 GPA,1.1 hours,Freshman,12-week,100.0%,Lecture,On time,Yes,No,70.94,3 stars,10,2,2 partners,9 cr,5.1 hours,No,Large
Grove Campus,Hybrid,Algebra,Not Available,12.8 hours,Elective,3.04 GPA,5.2 hours,Junior,12-week,84.4%,Lecture,On time,Yes,Yes,81.84,3 stars,10,5,1 partner,16 cr,6.5 hours,Yes,Medium
North Campus,In-person,Algebra,2021 CY,11.5 hours,Elective,2.75 GPA,2.4 hours,Freshman,16-week,82.9%,Lecture,On time,Yes,No,71.23,3 stars,8,2,3 partners,13 cr,6.4 hours,Yes,Large
Capitol Campus,Hybrid,Biology,2019 CY,11.4 hours,Required,3.79 GPA,4.7 hours,Senior,10-week,60.5%,Lecture,Late enroll,Yes,No,69.25,2 stars,8,1,1 partner,12 cr,6.7 hours,Yes,Small
Harbor Campus,Online,Civics,2022 CY,11.2 hours,Elective,3.41 GPA,2.7 hours,Junior,16-week,88.6%,Lecture,2-year retake,No,No,69.21,2 stars,12,4,1 partner,15 cr,7.1 hours,Yes,Medium
Grove Campus,In-person,Algebra,2021 CY,8.4 hours,Required,2.89 GPA,2.5 hours,Graduate,16-week,83.5%,Lab-heavy,On time,Yes,No,61.26,2 stars,14,1,1 partner,15 cr,8.6 hours,No,Small
Prairie Campus,In-person,Biology,2021 CY,7.8 hours,Elective,2.60 GPA,2.4 hours,Sophomore,16-week,100.0%,Lecture,On time,Yes,No,68.17,2 stars,8,3,1 partner,13 cr,5.0 hours,No,Medium
River Campus,Online,Chemistry,2019 CY,8.4 hours,Required,3.67 GPA,3.2 hours,Junior,16-week,78.6%,Lecture,On time,Yes,Yes,78.64,3 stars,12,3,1 partner,13 cr,7.8 hours,Yes,Large
Harbor Campus,In-person,Biology,2022 CY,9.0 hours,Elective,3.16 GPA,3.3 hours,Senior,10-week,100.0%,Studio,On time,No,No,72.66,3 stars,11,7,0 partners,12 cr,4.0 hours,Yes,Large
River Campus,Hybrid,Biology,2021 CY,8.2 hours,Elective,2.45 GPA,4.1 hours,Sophomore,16-week,93.5%,Lecture,On time,Yes,Yes,70.81,3 stars,9,5,3 partners,15 cr,8.3 hours,Yes,Small
Hill Campus,In-person,Literature,2020 CY,7.7 hours,Required,2.35 GPA,2.9 hours,Junior,12-week,78.7%,Lecture,On time,Yes,No,65.9,2 stars,15,5,1 partner,18 cr,4.6 hours,Yes,Small
River Campus,Online,History,2019 CY,10.4 hours,Elective,2.65 GPA,3.5 hours,Junior,12-week,82.3%,Lecture,3-year retake,No,No,73.49,3 stars,13,4,1 partner,13 cr,9.5 hours,Yes,Medium
Prairie Campus,Online,Literature,2021 CY,12.9 hours,Required,2.74 GPA,3.7 hours,Graduate,16-week,87.7%,Lecture,2-year retake,Yes,No,72.55,3 stars,13,7,1 partner,18 cr,6.4 hours,Yes,Small
Capitol Campus,In-person,Stats,2023 CY,10.4 hours,Required,2.23 GPA,3.0 hours,Senior,10-week,86.7%,Lecture,On time,No,No,65.14,2 stars,13,3,1 partner,12 cr,8.2 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2021 CY,16.2 hours,Required,2.54 GPA,7.1 hours,Freshman,12-week,91.4%,Lab-heavy,3-year retake,Yes,Yes,78.71,3 stars,15,7,0 partners,16 cr,8.0 hours,No,Medium
Harbor Campus,Hybrid,Stats,2023 CY,6.2 hours,Elective,2.74 GPA,1.6 hours,Sophomore,16-week,94.2%,Lecture,On time,No,No,62.0,2 stars,11,7,0 partners,18 cr,6.3 hours,Yes,Medium
Grove Campus,In-person,Stats,2023 CY,4.6 hours,Required,2.94 GPA,2.5 hours,Junior,16-week,95.0%,Lecture,On time,No,Yes,74.82,3 stars,9,9,0 partners,15 cr,6.4 hours,Yes,Medium
North Campus,In-person,Civics,2021 CY,11.4 hours,Required,3.79 GPA,2.3 hours,Freshman,10-week,82.8%,Lecture,Late enroll,Yes,No,86.23,4 stars,8,5,0 partners,12 cr,5.9 hours,Yes,Small
Prairie Campus,In-person,Literature,2023 CY,6.6 hours,Required,3.03 GPA,2.3 hours,Sophomore,10-week,77.3%,Lab-heavy,On time,No,No,63.7,2 stars,12,7,0 partners,13 cr,7.7 hours,No,Large
Hill Campus,In-person,Literature,2023 CY,8.2 hours,Required,3.07 GPA,1.4 hours,Sophomore,12-week,88.2%,Lecture,On time,Yes,No,75.15,3 stars,10,5,2 partners,12 cr,6.3 hours,Yes,Medium
Grove Campus,Online,Literature,2022 CY,3.4 hours,Required,3.26 GPA,1.5 hours,Freshman,16-week,87.8%,Lab-heavy,On time,No,No,54.85,1 star,14,2,0 partners,15 cr,5.9 hours,Yes,Medium
Hill Campus,Online,Physics,2019 CY,5.6 hours,Elective,3.04 GPA,1.1 hours,Junior,16-week,67.2%,Lecture,On time,No,No,60.26,2 stars,13,1,2 partners,18 cr,7.4 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2019 CY,5.7 hours,Required,3.21 GPA,2.7 hours,Freshman,10-week,90.7%,Lab-heavy,On time,No,Yes,67.68,2 stars,16,2,2 partners,13 cr,5.8 hours,No,Medium
Grove Campus,Hybrid,Stats,Not Available,8.5 hours,Elective,3.28 GPA,3.1 hours,Junior,16-week,85.0%,Lecture,On time,No,Yes,77.75,3 stars,8,6,0 partners,12 cr,6.4 hours,Yes,Small
Prairie Campus,In-person,Literature,2023 CY,9.2 hours,Required,3.09 GPA,3.4 hours,Freshman,16-week,76.0%,Lecture,On time,Yes,Yes,92.41,4 stars,13,1,1 partner,12 cr,6.9 hours,No,Small
North Campus,In-person,Physics,Not Available,10.2 hours,Elective,4.00 GPA,3.7 hours,Senior,16-week,85.7%,Lecture,On time,Yes,Yes,78.69,3 stars,10,2,1 partner,15 cr,6.1 hours,Yes,Medium
Capitol Campus,Online,History,2023 CY,13.1 hours,Required,3.44 GPA,4.8 hours,Freshman,16-week,82.9%,Lab-heavy,On time,Yes,No,98.55,5 stars,17,5,2 partners,15 cr,6.3 hours,No,Medium
Capitol Campus,Hybrid,Algebra,2019 CY,11.3 hours,Required,2.66 GPA,2.3 hours,Senior,16-week,100.0%,Lecture,On time,No,No,78.35,3 stars,8,2,1 partner,12 cr,8.5 hours,Yes,Small
Hill Campus,In-person,Chemistry,2023 CY,3.9 hours,Required,3.20 GPA,0.9 hours,Freshman,16-week,91.2%,Lecture,On time,No,No,56.21,1 star,9,5,0 partners,15 cr,6.6 hours,No,Medium
Hill Campus,In-person,Chemistry,2022 CY,11.0 hours,Required,2.79 GPA,2.0 hours,Junior,16-week,99.4%,Lecture,On time,Yes,No,65.23,2 stars,8,7,0 partners,12 cr,6.4 hours,Yes,Large
Harbor Campus,In-person,Chemistry,2023 CY,9.5 hours,Required,3.35 GPA,2.4 hours,Sophomore,10-week,87.8%,Lecture,On time,Yes,No,88.32,4 stars,10,0,2 partners,15 cr,6.6 hours,Yes,Small
River Campus,Online,History,2019 CY,8.2 hours,Elective,2.41 GPA,3.5 hours,Freshman,12-week,61.3%,Lecture,Late enroll,Yes,No,60.73,2 stars,13,5,0 partners,13 cr,7.3 hours,Yes,Small
Delta Campus,In-person,Biology,2021 CY,9.0 hours,Required,2.65 GPA,2.4 hours,Sophomore,10-week,95.7%,Lecture,On time,No,No,64.77,2 stars,10,6,2 partners,12 cr,5.7 hours,Yes,Medium
Hill Campus,In-person,Chemistry,2023 CY,9.8 hours,Required,3.30 GPA,3.8 hours,Senior,16-week,76.4%,Lecture,Late enroll,No,No,66.56,2 stars,9,1,0 partners,15 cr,7.3 hours,Yes,Medium
Capitol Campus,Online,History,2023 CY,6.9 hours,Required,3.75 GPA,2.0 hours,Graduate,10-week,76.6%,Lecture,Late enroll,Yes,No,73.71,3 stars,12,6,1 partner,15 cr,7.1 hours,Yes,Medium
Delta Campus,In-person,Stats,2022 CY,9.3 hours,Elective,3.38 GPA,3.8 hours,Sophomore,16-week,78.5%,Lecture,On time,Yes,Yes,74.79,3 stars,11,4,1 partner,13 cr,4.8 hours,Yes,Medium
Delta Campus,In-person,Biology,2021 CY,12.9 hours,Required,3.41 GPA,5.1 hours,Freshman,10-week,83.7%,Lecture,Late enroll,Yes,No,81.36,3 stars,14,5,0 partners,16 cr,8.8 hours,No,Medium
Prairie Campus,In-person,History,2021 CY,8.2 hours,Required,3.32 GPA,2.5 hours,Senior,16-week,93.7%,Lecture,Late enroll,Yes,Yes,87.77,4 stars,13,0,0 partners,15 cr,8.4 hours,Yes,Medium
Prairie Campus,In-person,Biology,Not Available,5.8 hours,Required,3.23 GPA,2.4 hours,Junior,12-week,98.3%,Lecture,On time,No,No,60.52,2 stars,12,3,0 partners,12 cr,5.9 hours,No,Medium
Grove Campus,In-person,Chemistry,2022 CY,8.9 hours,Required,2.80 GPA,2.6 hours,Freshman,16-week,100.0%,Studio,On time,Yes,No,72.26,3 stars,11,2,2 partners,18 cr,5.6 hours,Yes,Large
North Campus,Hybrid,Chemistry,2022 CY,6.9 hours,Required,3.52 GPA,3.0 hours,Senior,16-week,97.3%,Lecture,Late enroll,Yes,Yes,75.21,3 stars,13,1,1 partner,18 cr,7.1 hours,Yes,Small
Delta Campus,Online,Literature,2022 CY,5.0 hours,Required,3.61 GPA,3.3 hours,Junior,16-week,59.5%,Lab-heavy,3-year retake,Yes,Yes,61.04,2 stars,14,8,0 partners,12 cr,5.2 hours,No,Medium
Grove Campus,Online,Stats,2022 CY,8.0 hours,Required,3.12 GPA,2.0 hours,Junior,16-week,74.1%,Lecture,On time,Yes,No,71.86,3 stars,14,4,1 partner,18 cr,8.3 hours,Yes,Medium
Delta Campus,Hybrid,Biology,2022 CY,13.7 hours,Required,3.10 GPA,6.1 hours,Sophomore,16-week,61.9%,Lecture,Late enroll,No,No,61.72,2 stars,15,7,0 partners,16 cr,6.3 hours,Yes,Medium
Hill Campus,In-person,Physics,2022 CY,9.0 hours,Required,3.87 GPA,3.9 hours,Sophomore,16-week,89.3%,Lecture,Late enroll,Yes,No,66.26,2 stars,13,1,1 partner,12 cr,8.6 hours,Yes,Small
Capitol Campus,In-person,Algebra,2023 CY,9.7 hours,Required,3.02 GPA,2.2 hours,Freshman,16-week,76.1%,Lecture,Late enroll,Yes,No,70.05,3 stars,13,5,2 partners,15 cr,5.9 hours,Yes,Medium
River Campus,Hybrid,Biology,2023 CY,1.7 hours,Elective,3.18 GPA,0.4 hours,Senior,16-week,75.1%,Lab-heavy,3-year retake,Yes,No,56.98,1 star,10,4,2 partners,9 cr,6.7 hours,Yes,Medium
Capitol Campus,In-person,Chemistry,Not Available,10.5 hours,Required,3.25 GPA,4.1 hours,Freshman,16-week,86.8%,Lab-heavy,On time,No,No,70.06,3 stars,15,5,2 partners,15 cr,8.2 hours,Yes,Small
Grove Campus,Online,Algebra,2022 CY,9.4 hours,Required,3.11 GPA,2.0 hours,Senior,16-week,89.8%,Lecture,On time,No,No,57.58,1 star,15,2,0 partners,18 cr,6.4 hours,No,Medium
Prairie Campus,Online,Literature,2022 CY,7.0 hours,Required,2.78 GPA,2.6 hours,Senior,16-week,71.1%,Lab-heavy,On time,Yes,No,71.47,3 stars,12,5,0 partners,13 cr,7.1 hours,Yes,Large
Prairie Campus,In-person,Physics,2023 CY,11.1 hours,Required,3.32 GPA,3.3 hours,Senior,16-week,76.4%,Lecture,On time,Yes,Yes,80.47,3 stars,13,3,2 partners,15 cr,8.0 hours,Yes,Medium
River Campus,In-person,Physics,2023 CY,9.0 hours,Elective,3.01 GPA,1.9 hours,Freshman,16-week,89.0%,Lecture,On time,Yes,No,66.71,2 stars,9,6,0 partners,12 cr,6.2 hours,Yes,Small
Grove Campus,In-person,Chemistry,2022 CY,7.1 hours,Required,3.98 GPA,3.3 hours,Sophomore,16-week,95.0%,Lab-heavy,Late enroll,Yes,Yes,88.51,4 stars,12,5,0 partners,15 cr,5.4 hours,Yes,Large
River Campus,In-person,Literature,2023 CY,11.6 hours,Required,3.50 GPA,5.5 hours,Sophomore,10-week,82.7%,Lecture,2-year retake,Yes,Yes,86.75,4 stars,11,3,0 partners,16 cr,5.2 hours,Yes,Small
River Campus,In-person,History,2023 CY,12.9 hours,Required,2.88 GPA,4.8 hours,Junior,10-week,81.1%,Lecture,On time,No,No,88.22,4 stars,13,4,2 partners,12 cr,7.4 hours,No,Large
Hill Campus,In-person,Algebra,2023 CY,9.8 hours,Required,3.63 GPA,4.5 hours,Graduate,16-week,67.5%,Studio,On time,No,Yes,71.58,3 stars,14,2,1 partner,15 cr,7.2 hours,Yes,Medium
River Campus,Online,Algebra,2023 CY,5.7 hours,Elective,3.29 GPA,1.3 hours,Sophomore,16-week,95.5%,Studio,On time,Yes,No,67.52,2 stars,13,2,3 partners,13 cr,8.0 hours,Yes,Small
Prairie Campus,Hybrid,Literature,2021 CY,8.5 hours,Required,3.74 GPA,2.3 hours,Senior,16-week,78.6%,Lab-heavy,On time,Yes,No,77.94,3 stars,13,1,0 partners,15 cr,6.5 hours,No,Large
Prairie Campus,Online,Stats,2022 CY,13.2 hours,Required,2.79 GPA,4.2 hours,Freshman,16-week,74.5%,Lecture,On time,Yes,Yes,73.26,3 stars,13,7,0 partners,15 cr,5.2 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2022 CY,4.6 hours,Elective,3.23 GPA,1.1 hours,Sophomore,16-week,71.8%,Lab-heavy,On time,Yes,No,65.34,2 stars,13,3,0 partners,15 cr,4.2 hours,Yes,Medium
River Campus,In-person,Literature,2019 CY,10.4 hours,Elective,2.99 GPA,2.6 hours,Freshman,12-week,74.6%,Lecture,On time,Yes,No,67.37,2 stars,8,0,2 partners,13 cr,10.0 hours,Yes,Medium
River Campus,In-person,Physics,2023 CY,6.9 hours,Required,3.18 GPA,2.3 hours,Senior,16-week,73.4%,Lecture,Late enroll,Yes,No,64.85,2 stars,10,0,0 partners,15 cr,7.4 hours,Yes,Medium
Harbor Campus,In-person,Civics,2022 CY,11.3 hours,Required,2.63 GPA,3.6 hours,Freshman,10-week,86.6%,Lecture,On time,No,Yes,84.41,4 stars,9,8,3 partners,15 cr,7.0 hours,Yes,Medium
River Campus,Hybrid,Chemistry,2020 CY,7.3 hours,Required,3.41 GPA,1.2 hours,Sophomore,16-week,73.9%,Studio,On time,Yes,No,71.79,3 stars,12,1,1 partner,15 cr,7.1 hours,No,Large
North Campus,In-person,Literature,2023 CY,6.7 hours,Elective,3.34 GPA,2.4 hours,Senior,16-week,90.9%,Studio,On time,No,No,70.74,3 stars,13,0,2 partners,15 cr,5.2 hours,Yes,Small
Hill Campus,In-person,Physics,2023 CY,13.4 hours,Elective,3.73 GPA,2.1 hours,Junior,10-week,86.5%,Lab-heavy,On time,Yes,No,83.21,4 stars,13,1,2 partners,16 cr,5.9 hours,Yes,Medium
